tree_idx,node_idx,feature_idx,split_value,left_child,right_child,is_leaf,label
10,10,0,12.293169021606445,11,16,0,-1
10,11,4,7.474366188049316,12,15,0,-1
10,12,0,12.233717441558838,13,14,0,-1
10,13,-1,-1.0,-1,-1,1,1
10,14,-1,-1.0,-1,-1,1,0
10,15,-1,-1.0,-1,-1,1,0
10,16,4,7.482982397079468,17,20,0,-1
10,17,4,5.998413324356079,18,19,0,-1
10,18,-1,-1.0,-1,-1,1,0
10,19,-1,-1.0,-1,-1,1,1
10,20,-1,-1.0,-1,-1,1,0
11,0,2,5.284927845001221,1,14,0,-1
11,1,4,5.942466974258423,2,3,0,-1
11,2,-1,-1.0,-1,-1,1,0
11,3,1,0.7924812436103821,4,13,0,-1
11,4,2,0.5,5,12,0,-1
11,5,4,7.747802495956421,6,7,0,-1
11,6,-1,-1.0,-1,-1,1,1
11,7,0,32.397817611694336,8,11,0,-1
11,8,0,32.31833457946777,9,10,0,-1
11,9,-1,-1.0,-1,-1,1,1
11,10,-1,-1.0,-1,-1,1,0
11,11,-1,-1.0,-1,-1,1,1
11,12,-1,-1.0,-1,-1,1,1
11,13,-1,-1.0,-1,-1,1,1
11,14,4,7.31056809425354,15,26,0,-1
11,15,0,21.036914825439453,16,25,0,-1
11,16,2,19.21878433227539,17,24,0,-1
11,17,0,11.698451519012451,18,19,0,-1
11,18,-1,-1.0,-1,-1,1,0
11,19,3,12.949359893798828,20,21,0,-1
11,20,-1,-1.0,-1,-1,1,1
11,21,0,13.415334701538086,22,23,0,-1
11,22,-1,-1.0,-1,-1,1,0
11,23,-1,-1.0,-1,-1,1,1
11,24,-1,-1.0,-1,-1,1,1
11,25,-1,-1.0,-1,-1,1,0
11,26,3,19.42016315460205,27,28,0,-1
11,27,-1,-1.0,-1,-1,1,0
11,28,-1,-1.0,-1,-1,1,1
12,0,4,7.7984442710876465,1,10,0,-1
12,1,4,5.942466974258423,2,3,0,-1
12,2,-1,-1.0,-1,-1,1,0
12,3,0,30.10734748840332,4,5,0,-1
12,4,-1,-1.0,-1,-1,1,1
12,5,2,0.7924812436103821,6,9,0,-1
12,6,0,32.11228561401367,7,8,0,-1
12,7,-1,-1.0,-1,-1,1,0
12,8,-1,-1.0,-1,-1,1,1
12,9,-1,-1.0,-1,-1,1,0
12,10,2,10.359146356582642,11,12,0,-1
12,11,-1,-1.0,-1,-1,1,1
12,12,-1,-1.0,-1,-1,1,0
13,0,0,20.383461952209473,1,22,0,-1
13,1,3,12.301051616668701,2,5,0,-1
13,2,4,7.468962907791138,3,4,0,-1
13,3,-1,-1.0,-1,-1,1,1
13,4,-1,-1.0,-1,-1,1,0
13,5,2,15.751877307891846,6,17,0,-1
13,6,2,15.550528526306152,7,16,0,-1
13,7,1,16.287659645080566,8,11,0,-1
13,8,1,12.738429069519043,9,10,0,-1
13,9,-1,-1.0,-1,-1,1,1
13,10,-1,-1.0,-1,-1,1,0
13,11,3,15.457608699798584,12,13,0,-1
13,12,-1,-1.0,-1,-1,1,1
13,13,4,7.238120079040527,14,15,0,-1
13,14,-1,-1.0,-1,-1,1,1
13,15,-1,-1.0,-1,-1,1,0
13,16,-1,-1.0,-1,-1,1,0
13,17,1,17.65479850769043,18,21,0,-1
13,18,4,7.24026894569397,19,20,0,-1
13,19,-1,-1.0,-1,-1,1,1
13,20,-1,-1.0,-1,-1,1,0
13,21,-1,-1.0,-1,-1,1,1
13,22,4,5.942466974258423,23,26,0,-1
13,23,1,5.738879203796387,24,25,0,-1
13,24,-1,-1.0,-1,-1,1,0
13,25,-1,-1.0,-1,-1,1,1
13,26,4,7.204164981842041,27,36,0,-1
13,27,3,28.582340240478516,28,35,0,-1
13,28,4,7.144433259963989,29,34,0,-1
13,29,0,29.980039596557617,30,31,0,-1
13,30,-1,-1.0,-1,-1,1,1
13,31,1,0.7924812436103821,32,33,0,-1
13,32,-1,-1.0,-1,-1,1,1
13,33,-1,-1.0,-1,-1,1,0
13,34,-1,-1.0,-1,-1,1,0
13,35,-1,-1.0,-1,-1,1,1
13,36,-1,-1.0,-1,-1,1,1
14,0,4,7.730419874191284,1,12,0,-1
14,1,4,5.942466974258423,2,3,0,-1
14,2,-1,-1.0,-1,-1,1,0
14,3,3,14.783966064453125,4,5,0,-1
14,4,-1,-1.0,-1,-1,1,1
14,5,3,14.852197647094727,6,7,0,-1
14,6,-1,-1.0,-1,-1,1,0
14,7,4,7.507772922515869,8,9,0,-1
14,8,-1,-1.0,-1,-1,1,1
14,9,4,7.576162338256836,10,11,0,-1
14,10,-1,-1.0,-1,-1,1,0
14,11,-1,-1.0,-1,-1,1,1
14,12,0,25.49244499206543,13,14,0,-1
14,13,-1,-1.0,-1,-1,1,0
14,14,3,27.93656826019287,15,20,0,-1
14,15,0,31.61828899383545,16,17,0,-1
14,16,-1,-1.0,-1,-1,1,1
14,17,3,27.01592445373535,18,19,0,-1
14,18,-1,-1.0,-1,-1,1,1
14,19,-1,-1.0,-1,-1,1,0
14,20,-1,-1.0,-1,-1,1,1
15,0,4,7.844999074935913,1,14,0,-1
15,1,3,24.607864379882812,2,3,0,-1
15,2,-1,-1.0,-1,-1,1,1
15,3,4,5.942466974258423,4,5,0,-1
15,4,-1,-1.0,-1,-1,1,0
15,5,0,33.562068939208984,6,13,0,-1
15,6,2,0.7924812436103821,7,12,0,-1
15,7,4,7.137771368026733,8,9,0,-1
15,8,-1,-1.0,-1,-1,1,1
15,9,0,33.27773475646973,10,11,0,-1
15,10,-1,-1.0,-1,-1,1,1
15,11,-1,-1.0,-1,-1,1,0
15,12,-1,-1.0,-1,-1,1,1
15,13,-1,-1.0,-1,-1,1,1
15,14,0,20.992136001586914,15,16,0,-1
15,15,-1,-1.0,-1,-1,1,0
15,16,-1,-1.0,-1,-1,1,1
16,0,1,4.314678430557251,1,2,0,-1
16,1,-1,-1.0,-1,-1,1,1
16,2,4,7.569215774536133,3,14,0,-1
16,3,4,5.998413324356079,4,9,0,-1
16,4,2,6.029672145843506,5,6,0,-1
16,5,-1,-1.0,-1,-1,1,0
16,6,3,19.572669982910156,7,8,0,-1
16,7,-1,-1.0,-1,-1,1,0
16,8,-1,-1.0,-1,-1,1,1
16,9,3,11.80596399307251,10,11,0,-1
16,10,-1,-1.0,-1,-1,1,1
16,11,3,11.847524642944336,12,13,0,-1
16,12,-1,-1.0,-1,-1,1,0
16,13,-1,-1.0,-1,-1,1,1
16,14,0,25.397276878356934,15,16,0,-1
16,15,-1,-1.0,-1,-1,1,0
16,16,-1,-1.0,-1,-1,1,1
17,0,4,7.710605144500732,1,18,0,-1
